INSERT INTO Games VALUES(0, date '2003-12-22', date '2008-8-19', 'Kansas City Royals', 'Houston Astros', 'Kansas City Royals');
INSERT INTO Games VALUES(201, date '2005-7-9', date '2005-3-23', 'San Francisco Giants', 'Minnesota Twins', 'San Francisco Giants');
INSERT INTO Games VALUES(202, date '2009-2-7', date '2008-7-5', 'Seattle Mariners', 'San Francisco Giants', 'Seattle Mariners');
INSERT INTO Games VALUES(203, date '2004-12-27', date '2007-7-28', 'Detroit Tigers', 'San Diego Padres', 'Detroit Tigers');
INSERT INTO Games VALUES(204, date '2006-11-2', date '2000-5-2', 'Seattle Mariners', 'Boston Red Sox', 'Seattle Mariners');
INSERT INTO Games VALUES(205, date '2003-2-13', date '2006-9-2', 'Philadelphia Phillies', 'Boston Red Sox', 'Philadelphia Phillies');
INSERT INTO Games VALUES(206, date '2002-1-8', date '2001-5-17', 'Houston Astros', 'Philadelphia Phillies', 'Houston Astros');
INSERT INTO Games VALUES(207, date '2005-12-22', date '2005-3-19', 'Cleveland Indians', 'Milwaukee Brewers', 'Cleveland Indians');
INSERT INTO Games VALUES(208, date '2000-9-11', date '2007-9-13', 'Texas Rangers', 'Miami Marlins', 'Texas Rangers');
INSERT INTO Games VALUES(209, date '2009-5-24', date '2001-3-10', 'Tampa Bay Rays', 'Cincinnati Reds', 'Tampa Bay Rays');
INSERT INTO Games VALUES(210, date '2005-9-6', date '2000-12-25', 'San Diego Padres', 'Minnesota Twins', 'San Diego Padres');
INSERT INTO Games VALUES(211, date '2002-2-2', date '2004-1-10', 'Kansas City Royals', 'New York Yankees', 'Kansas City Royals');
INSERT INTO Games VALUES(212, date '2002-10-14', date '2001-8-18', 'New York Yankees', 'Detroit Tigers', 'New York Yankees');
INSERT INTO Games VALUES(213, date '2001-7-22', date '2009-6-1', 'Cleveland Indians', 'Cleveland Indians', 'Cleveland Indians');
INSERT INTO Games VALUES(214, date '2005-9-20', date '2008-5-15', 'Baltimore Orioles', 'San Francisco Giants', 'Baltimore Orioles');
INSERT INTO Games VALUES(215, date '2004-9-20', date '2007-10-21', 'Milwaukee Brewers', 'Toronto Blue Jays', 'Milwaukee Brewers');
INSERT INTO Games VALUES(216, date '2008-6-15', date '2006-3-27', 'Philadelphia Phillies', 'St. Louis Cardinals', 'Philadelphia Phillies');
INSERT INTO Games VALUES(217, date '2001-4-16', date '2007-1-13', 'Boston Red Sox', 'Texas Rangers', 'Boston Red Sox');
INSERT INTO Games VALUES(218, date '2009-1-2', date '2006-7-28', 'Toronto Blue Jays', 'Boston Red Sox', 'Toronto Blue Jays');
INSERT INTO Games VALUES(219, date '2009-9-27', date '2007-5-4', 'Tampa Bay Rays', 'Washington Nationals', 'Tampa Bay Rays');
INSERT INTO Games VALUES(220, date '2007-8-3', date '2001-10-1', 'Washington Nationals', 'Baltimore Orioles', 'Washington Nationals');
INSERT INTO Games VALUES(221, date '2007-8-5', date '2001-5-24', 'Detroit Tigers', 'Baltimore Orioles', 'Detroit Tigers');
INSERT INTO Games VALUES(222, date '2003-9-28', date '2006-11-28', 'Detroit Tigers', 'Texas Rangers', 'Detroit Tigers');
INSERT INTO Games VALUES(223, date '2005-7-7', date '2001-11-19', 'Cleveland Indians', 'Washington Nationals', 'Cleveland Indians');
INSERT INTO Games VALUES(224, date '2000-8-17', date '2004-12-28', 'New York Mets', 'Los Angeles Dodgers', 'New York Mets');
INSERT INTO Games VALUES(225, date '2005-12-13', date '2006-2-8', 'Philadelphia Phillies', 'Boston Red Sox', 'Philadelphia Phillies');
INSERT INTO Games VALUES(226, date '2001-10-27', date '2000-4-27', 'Miami Marlins', 'Los Angeles Dodgers', 'Miami Marlins');
INSERT INTO Games VALUES(227, date '2006-2-16', date '2001-11-2', 'San Francisco Giants', 'Detroit Tigers', 'San Francisco Giants');
INSERT INTO Games VALUES(228, date '2007-3-6', date '2006-5-4', 'Los Angeles Dodgers', 'Philadelphia Phillies', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(229, date '2003-12-25', date '2005-11-7', 'Miami Marlins', 'Cincinnati Reds', 'Miami Marlins');
INSERT INTO Games VALUES(230, date '2007-12-18', date '2004-3-17', 'Los Angeles Dodgers', 'New York Yankees', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(231, date '2008-3-19', date '2008-10-21', 'Baltimore Orioles', 'Houston Astros', 'Baltimore Orioles');
INSERT INTO Games VALUES(232, date '2003-8-20', date '2004-2-1', 'Minnesota Twins', 'Tampa Bay Rays', 'Minnesota Twins');
INSERT INTO Games VALUES(233, date '2009-7-7', date '2004-9-7', 'Los Angeles Angels', 'San Francisco Giants', 'Los Angeles Angels');
INSERT INTO Games VALUES(234, date '2008-6-9', date '2003-7-18', 'Minnesota Twins', 'Pittsburgh Pirates', 'Minnesota Twins');
INSERT INTO Games VALUES(235, date '2007-9-15', date '2005-11-11', 'Cincinnati Reds', 'Milwaukee Brewers', 'Cincinnati Reds');
INSERT INTO Games VALUES(236, date '2003-8-5', date '2008-11-23', 'San Francisco Giants', 'Tampa Bay Rays', 'San Francisco Giants');
INSERT INTO Games VALUES(237, date '2001-5-2', date '2008-7-9', 'Chicago White Sox', 'Chicago White Sox', 'Chicago White Sox');
INSERT INTO Games VALUES(238, date '2009-4-5', date '2009-1-18', 'Arizona Diamondbacks', 'San Francisco Giants', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(239, date '2003-1-20', date '2006-11-2', 'Seattle Mariners', 'Cincinnati Reds', 'Seattle Mariners');
INSERT INTO Games VALUES(240, date '2005-5-24', date '2008-7-5', 'Oakland Athletics', 'Seattle Mariners', 'Oakland Athletics');
INSERT INTO Games VALUES(241, date '2001-11-3', date '2006-5-17', 'Houston Astros', 'Milwaukee Brewers', 'Houston Astros');
INSERT INTO Games VALUES(242, date '2008-3-8', date '2000-5-8', 'Atlanta Braves', 'Philadelphia Phillies', 'Atlanta Braves');
INSERT INTO Games VALUES(243, date '2009-10-7', date '2004-6-8', 'Cleveland Indians', 'Seattle Mariners', 'Cleveland Indians');
INSERT INTO Games VALUES(244, date '2008-10-18', date '2008-3-5', 'San Diego Padres', 'Los Angeles Dodgers', 'San Diego Padres');
INSERT INTO Games VALUES(245, date '2001-12-16', date '2004-5-11', 'Cincinnati Reds', 'Atlanta Braves', 'Cincinnati Reds');
INSERT INTO Games VALUES(246, date '2006-6-25', date '2003-10-14', 'Chicago Cubs', 'New York Mets', 'Chicago Cubs');
INSERT INTO Games VALUES(247, date '2002-8-10', date '2008-7-19', 'New York Mets', 'Boston Red Sox', 'New York Mets');
INSERT INTO Games VALUES(248, date '2006-5-21', date '2008-6-9', 'Chicago White Sox', 'Milwaukee Brewers', 'Chicago White Sox');
INSERT INTO Games VALUES(249, date '2003-4-16', date '2005-12-7', 'San Diego Padres', 'Chicago Cubs', 'San Diego Padres');
INSERT INTO Games VALUES(250, date '2007-1-13', date '2001-4-18', 'Tampa Bay Rays', 'Arizona Diamondbacks', 'Tampa Bay Rays');
INSERT INTO Games VALUES(251, date '2000-11-8', date '2008-2-5', 'Baltimore Orioles', 'Chicago Cubs', 'Baltimore Orioles');
INSERT INTO Games VALUES(252, date '2002-6-4', date '2006-9-7', 'St. Louis Cardinals', 'New York Yankees', 'St. Louis Cardinals');
INSERT INTO Games VALUES(253, date '2001-8-7', date '2006-1-4', 'Colorado Rockies', 'Texas Rangers', 'Colorado Rockies');
INSERT INTO Games VALUES(254, date '2001-5-14', date '2009-8-17', 'Washington Nationals', 'New York Yankees', 'Washington Nationals');
INSERT INTO Games VALUES(255, date '2002-9-6', date '2009-4-7', 'Texas Rangers', 'Atlanta Braves', 'Texas Rangers');
INSERT INTO Games VALUES(256, date '2008-5-8', date '2000-11-13', 'Boston Red Sox', 'St. Louis Cardinals', 'Boston Red Sox');
INSERT INTO Games VALUES(257, date '2004-11-21', date '2007-1-12', 'Baltimore Orioles', 'Chicago Cubs', 'Baltimore Orioles');
INSERT INTO Games VALUES(258, date '2004-1-3', date '2006-6-12', 'Cleveland Indians', 'Chicago Cubs', 'Cleveland Indians');
INSERT INTO Games VALUES(259, date '2006-7-2', date '2004-1-21', 'Los Angeles Dodgers', 'Houston Astros', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(260, date '2009-3-22', date '2000-9-16', 'Texas Rangers', 'Baltimore Orioles', 'Texas Rangers');
INSERT INTO Games VALUES(261, date '2000-2-27', date '2003-11-5', 'Cincinnati Reds', 'Cleveland Indians', 'Cincinnati Reds');
INSERT INTO Games VALUES(262, date '2008-6-20', date '2000-9-1', 'Colorado Rockies', 'Texas Rangers', 'Colorado Rockies');
INSERT INTO Games VALUES(263, date '2001-7-3', date '2000-8-27', 'New York Mets', 'Atlanta Braves', 'New York Mets');
INSERT INTO Games VALUES(264, date '2003-4-3', date '2002-6-12', 'Pittsburgh Pirates', 'Oakland Athletics', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(265, date '2008-4-4', date '2009-5-25', 'Oakland Athletics', 'St. Louis Cardinals', 'Oakland Athletics');
INSERT INTO Games VALUES(266, date '2000-3-21', date '2005-5-21', 'Kansas City Royals', 'Baltimore Orioles', 'Kansas City Royals');
INSERT INTO Games VALUES(267, date '2005-4-5', date '2007-5-1', 'Los Angeles Dodgers', 'Miami Marlins', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(268, date '2006-10-2', date '2008-11-21', 'Detroit Tigers', 'Tampa Bay Rays', 'Detroit Tigers');
INSERT INTO Games VALUES(269, date '2003-6-25', date '2004-3-10', 'Tampa Bay Rays', 'Arizona Diamondbacks', 'Tampa Bay Rays');
INSERT INTO Games VALUES(270, date '2006-12-11', date '2004-4-16', 'Miami Marlins', 'Miami Marlins', 'Miami Marlins');
INSERT INTO Games VALUES(271, date '2003-3-20', date '2008-6-11', 'Milwaukee Brewers', 'Tampa Bay Rays', 'Milwaukee Brewers');
INSERT INTO Games VALUES(272, date '2004-12-20', date '2001-12-23', 'San Diego Padres', 'San Diego Padres', 'San Diego Padres');
INSERT INTO Games VALUES(273, date '2001-11-12', date '2004-2-25', 'Detroit Tigers', 'Miami Marlins', 'Detroit Tigers');
INSERT INTO Games VALUES(274, date '2007-6-21', date '2005-11-26', 'Cincinnati Reds', 'Arizona Diamondbacks', 'Cincinnati Reds');
INSERT INTO Games VALUES(275, date '2005-11-1', date '2006-8-1', 'Philadelphia Phillies', 'Houston Astros', 'Philadelphia Phillies');
INSERT INTO Games VALUES(276, date '2001-7-4', date '2002-11-14', 'Baltimore Orioles', 'Chicago Cubs', 'Baltimore Orioles');
INSERT INTO Games VALUES(277, date '2009-11-3', date '2004-5-11', 'Los Angeles Dodgers', 'Los Angeles Dodgers', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(278, date '2002-9-12', date '2006-1-6', 'New York Yankees', 'Chicago Cubs', 'New York Yankees');
INSERT INTO Games VALUES(279, date '2005-1-15', date '2007-2-6', 'Texas Rangers', 'Cincinnati Reds', 'Texas Rangers');
INSERT INTO Games VALUES(280, date '2007-1-18', date '2009-7-6', 'Milwaukee Brewers', 'Washington Nationals', 'Milwaukee Brewers');
INSERT INTO Games VALUES(281, date '2008-3-13', date '2003-5-14', 'Tampa Bay Rays', 'Miami Marlins', 'Tampa Bay Rays');
INSERT INTO Games VALUES(282, date '2009-11-10', date '2001-3-6', 'Detroit Tigers', 'Chicago Cubs', 'Detroit Tigers');
INSERT INTO Games VALUES(283, date '2005-4-18', date '2002-5-28', 'Chicago White Sox', 'Chicago Cubs', 'Chicago White Sox');
INSERT INTO Games VALUES(284, date '2008-2-6', date '2003-10-26', 'Pittsburgh Pirates', 'Pittsburgh Pirates', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(285, date '2004-6-19', date '2001-2-19', 'Chicago Cubs', 'New York Yankees', 'Chicago Cubs');
INSERT INTO Games VALUES(286, date '2007-6-13', date '2001-12-5', 'Los Angeles Dodgers', 'Colorado Rockies', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(287, date '2005-12-19', date '2009-8-21', 'St. Louis Cardinals', 'Los Angeles Dodgers', 'St. Louis Cardinals');
INSERT INTO Games VALUES(288, date '2002-4-9', date '2002-12-16', 'Arizona Diamondbacks', 'Cleveland Indians', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(289, date '2007-12-4', date '2003-11-26', 'Detroit Tigers', 'Boston Red Sox', 'Detroit Tigers');
INSERT INTO Games VALUES(290, date '2004-2-4', date '2007-1-14', 'San Francisco Giants', 'Los Angeles Dodgers', 'San Francisco Giants');
INSERT INTO Games VALUES(291, date '2007-10-9', date '2001-8-22', 'San Diego Padres', 'Colorado Rockies', 'San Diego Padres');
INSERT INTO Games VALUES(292, date '2000-2-1', date '2007-11-10', 'Arizona Diamondbacks', 'New York Yankees', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(293, date '2009-6-16', date '2009-8-22', 'Atlanta Braves', 'Boston Red Sox', 'Atlanta Braves');
INSERT INTO Games VALUES(294, date '2000-6-24', date '2004-5-6', 'New York Yankees', 'Boston Red Sox', 'New York Yankees');
INSERT INTO Games VALUES(295, date '2009-1-12', date '2005-4-24', 'St. Louis Cardinals', 'Pittsburgh Pirates', 'St. Louis Cardinals');
INSERT INTO Games VALUES(296, date '2008-9-21', date '2001-8-13', 'Toronto Blue Jays', 'Minnesota Twins', 'Toronto Blue Jays');
INSERT INTO Games VALUES(297, date '2000-4-19', date '2000-7-13', 'Kansas City Royals', 'Tampa Bay Rays', 'Kansas City Royals');
INSERT INTO Games VALUES(298, date '2009-10-24', date '2002-5-22', 'Baltimore Orioles', 'Chicago White Sox', 'Baltimore Orioles');
INSERT INTO Games VALUES(299, date '2005-9-21', date '2000-6-25', 'Oakland Athletics', 'Houston Astros', 'Oakland Athletics');
INSERT INTO Games VALUES(300, date '2009-3-2', date '2003-9-6', 'Arizona Diamondbacks', 'Cleveland Indians', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(301, date '2009-12-10', date '2003-5-2', 'Colorado Rockies', 'Miami Marlins', 'Colorado Rockies');
INSERT INTO Games VALUES(302, date '2005-11-24', date '2006-4-4', 'New York Mets', 'Chicago Cubs', 'New York Mets');
INSERT INTO Games VALUES(303, date '2001-11-10', date '2007-10-14', 'Kansas City Royals', 'St. Louis Cardinals', 'Kansas City Royals');
INSERT INTO Games VALUES(304, date '2009-12-22', date '2003-6-23', 'Kansas City Royals', 'New York Mets', 'Kansas City Royals');
INSERT INTO Games VALUES(305, date '2003-5-4', date '2005-8-16', 'New York Mets', 'Miami Marlins', 'New York Mets');
INSERT INTO Games VALUES(306, date '2005-4-28', date '2003-4-13', 'Detroit Tigers', 'Pittsburgh Pirates', 'Detroit Tigers');
INSERT INTO Games VALUES(307, date '2001-7-1', date '2004-5-27', 'Arizona Diamondbacks', 'San Francisco Giants', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(308, date '2006-3-4', date '2002-10-9', 'Milwaukee Brewers', 'Arizona Diamondbacks', 'Milwaukee Brewers');
INSERT INTO Games VALUES(309, date '2000-12-25', date '2007-12-16', 'San Francisco Giants', 'Tampa Bay Rays', 'San Francisco Giants');
INSERT INTO Games VALUES(310, date '2009-2-1', date '2007-5-25', 'Chicago Cubs', 'Los Angeles Dodgers', 'Chicago Cubs');
INSERT INTO Games VALUES(311, date '2001-11-18', date '2005-6-20', 'Baltimore Orioles', 'Atlanta Braves', 'Baltimore Orioles');
INSERT INTO Games VALUES(312, date '2003-4-4', date '2001-6-12', 'Houston Astros', 'Oakland Athletics', 'Houston Astros');
INSERT INTO Games VALUES(313, date '2007-7-9', date '2003-4-27', 'Cleveland Indians', 'New York Yankees', 'Cleveland Indians');
INSERT INTO Games VALUES(314, date '2002-4-6', date '2003-4-16', 'Los Angeles Dodgers', 'Philadelphia Phillies', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(315, date '2002-10-27', date '2009-2-16', 'Oakland Athletics', 'New York Yankees', 'Oakland Athletics');
INSERT INTO Games VALUES(316, date '2008-11-10', date '2004-9-28', 'Minnesota Twins', 'San Francisco Giants', 'Minnesota Twins');
INSERT INTO Games VALUES(317, date '2007-10-25', date '2006-9-7', 'Colorado Rockies', 'Boston Red Sox', 'Colorado Rockies');
INSERT INTO Games VALUES(318, date '2009-2-19', date '2004-9-22', 'Colorado Rockies', 'Chicago White Sox', 'Colorado Rockies');
INSERT INTO Games VALUES(319, date '2008-5-2', date '2008-5-5', 'Washington Nationals', 'Los Angeles Dodgers', 'Washington Nationals');
INSERT INTO Games VALUES(320, date '2009-2-23', date '2006-12-4', 'Washington Nationals', 'Toronto Blue Jays', 'Washington Nationals');
INSERT INTO Games VALUES(321, date '2004-11-12', date '2009-6-13', 'Chicago White Sox', 'San Francisco Giants', 'Chicago White Sox');
INSERT INTO Games VALUES(322, date '2008-1-20', date '2004-7-18', 'San Francisco Giants', 'Kansas City Royals', 'San Francisco Giants');
INSERT INTO Games VALUES(323, date '2008-6-2', date '2006-10-26', 'San Diego Padres', 'Washington Nationals', 'San Diego Padres');
INSERT INTO Games VALUES(324, date '2006-6-26', date '2002-6-22', 'Milwaukee Brewers', 'Baltimore Orioles', 'Milwaukee Brewers');
INSERT INTO Games VALUES(325, date '2007-8-26', date '2006-12-25', 'San Francisco Giants', 'Arizona Diamondbacks', 'San Francisco Giants');
INSERT INTO Games VALUES(326, date '2007-4-14', date '2000-2-10', 'Baltimore Orioles', 'Cincinnati Reds', 'Baltimore Orioles');
INSERT INTO Games VALUES(327, date '2008-1-16', date '2007-10-26', 'Toronto Blue Jays', 'Cleveland Indians', 'Toronto Blue Jays');
INSERT INTO Games VALUES(328, date '2000-1-12', date '2006-12-1', 'Minnesota Twins', 'St. Louis Cardinals', 'Minnesota Twins');
INSERT INTO Games VALUES(329, date '2004-5-20', date '2003-11-23', 'Miami Marlins', 'Baltimore Orioles', 'Miami Marlins');
INSERT INTO Games VALUES(330, date '2000-7-4', date '2007-8-5', 'Texas Rangers', 'Cincinnati Reds', 'Texas Rangers');
INSERT INTO Games VALUES(331, date '2001-4-15', date '2008-12-7', 'Toronto Blue Jays', 'Kansas City Royals', 'Toronto Blue Jays');
INSERT INTO Games VALUES(332, date '2002-2-11', date '2009-5-20', 'Arizona Diamondbacks', 'Oakland Athletics', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(333, date '2009-9-25', date '2001-5-15', 'San Diego Padres', 'Cincinnati Reds', 'San Diego Padres');
INSERT INTO Games VALUES(334, date '2002-11-18', date '2007-2-2', 'Chicago Cubs', 'Pittsburgh Pirates', 'Chicago Cubs');
INSERT INTO Games VALUES(335, date '2009-6-7', date '2008-8-27', 'Houston Astros', 'St. Louis Cardinals', 'Houston Astros');
INSERT INTO Games VALUES(336, date '2002-2-5', date '2000-6-9', 'Los Angeles Dodgers', 'Texas Rangers', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(337, date '2001-1-21', date '2002-1-5', 'New York Mets', 'St. Louis Cardinals', 'New York Mets');
INSERT INTO Games VALUES(338, date '2004-4-9', date '2001-2-6', 'Tampa Bay Rays', 'Boston Red Sox', 'Tampa Bay Rays');
INSERT INTO Games VALUES(339, date '2008-8-12', date '2000-11-23', 'Detroit Tigers', 'New York Mets', 'Detroit Tigers');
INSERT INTO Games VALUES(340, date '2004-8-14', date '2007-11-18', 'Milwaukee Brewers', 'San Francisco Giants', 'Milwaukee Brewers');
INSERT INTO Games VALUES(341, date '2004-3-28', date '2008-1-4', 'New York Mets', 'San Diego Padres', 'New York Mets');
INSERT INTO Games VALUES(342, date '2004-5-8', date '2002-12-2', 'Baltimore Orioles', 'Miami Marlins', 'Baltimore Orioles');
INSERT INTO Games VALUES(343, date '2000-12-14', date '2006-1-15', 'Chicago White Sox', 'Miami Marlins', 'Chicago White Sox');
INSERT INTO Games VALUES(344, date '2008-8-16', date '2001-3-24', 'Washington Nationals', 'San Diego Padres', 'Washington Nationals');
INSERT INTO Games VALUES(345, date '2003-10-23', date '2003-1-14', 'Baltimore Orioles', 'St. Louis Cardinals', 'Baltimore Orioles');
INSERT INTO Games VALUES(346, date '2006-2-19', date '2002-7-4', 'Kansas City Royals', 'Chicago Cubs', 'Kansas City Royals');
INSERT INTO Games VALUES(347, date '2002-6-14', date '2009-1-3', 'Boston Red Sox', 'Los Angeles Dodgers', 'Boston Red Sox');
INSERT INTO Games VALUES(348, date '2002-7-5', date '2001-2-27', 'Colorado Rockies', 'New York Yankees', 'Colorado Rockies');
INSERT INTO Games VALUES(349, date '2002-3-21', date '2006-6-21', 'Washington Nationals', 'Tampa Bay Rays', 'Washington Nationals');
INSERT INTO Games VALUES(350, date '2007-3-18', date '2006-4-9', 'Detroit Tigers', 'New York Yankees', 'Detroit Tigers');
INSERT INTO Games VALUES(351, date '2007-1-23', date '2004-8-3', 'Cincinnati Reds', 'Washington Nationals', 'Cincinnati Reds');
INSERT INTO Games VALUES(352, date '2005-9-8', date '2004-9-7', 'Cleveland Indians', 'New York Mets', 'Cleveland Indians');
INSERT INTO Games VALUES(353, date '2003-8-18', date '2006-12-27', 'Washington Nationals', 'Oakland Athletics', 'Washington Nationals');
INSERT INTO Games VALUES(354, date '2004-2-10', date '2003-2-13', 'Pittsburgh Pirates', 'Washington Nationals', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(355, date '2003-5-14', date '2005-5-15', 'Texas Rangers', 'Los Angeles Angels', 'Texas Rangers');
INSERT INTO Games VALUES(356, date '2004-8-17', date '2008-8-12', 'San Diego Padres', 'Miami Marlins', 'San Diego Padres');
INSERT INTO Games VALUES(357, date '2008-9-27', date '2002-6-6', 'Baltimore Orioles', 'San Francisco Giants', 'Baltimore Orioles');
INSERT INTO Games VALUES(358, date '2005-8-26', date '2006-6-4', 'New York Yankees', 'Oakland Athletics', 'New York Yankees');
INSERT INTO Games VALUES(359, date '2002-6-25', date '2001-5-3', 'Baltimore Orioles', 'Los Angeles Angels', 'Baltimore Orioles');
INSERT INTO Games VALUES(360, date '2001-3-13', date '2000-10-14', 'St. Louis Cardinals', 'New York Mets', 'St. Louis Cardinals');
INSERT INTO Games VALUES(361, date '2009-1-11', date '2006-12-7', 'San Diego Padres', 'Pittsburgh Pirates', 'San Diego Padres');
INSERT INTO Games VALUES(362, date '2003-3-22', date '2008-4-22', 'San Francisco Giants', 'San Diego Padres', 'San Francisco Giants');
INSERT INTO Games VALUES(363, date '2007-9-10', date '2009-8-14', 'Texas Rangers', 'Toronto Blue Jays', 'Texas Rangers');
INSERT INTO Games VALUES(364, date '2001-11-7', date '2001-4-25', 'Los Angeles Angels', 'Kansas City Royals', 'Los Angeles Angels');
INSERT INTO Games VALUES(365, date '2004-4-18', date '2007-4-26', 'Los Angeles Dodgers', 'San Diego Padres', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(366, date '2003-2-3', date '2001-10-22', 'Philadelphia Phillies', 'New York Yankees', 'Philadelphia Phillies');
INSERT INTO Games VALUES(367, date '2007-10-13', date '2003-5-10', 'Seattle Mariners', 'Colorado Rockies', 'Seattle Mariners');
INSERT INTO Games VALUES(368, date '2009-10-7', date '2007-5-4', 'Chicago Cubs', 'Atlanta Braves', 'Chicago Cubs');
INSERT INTO Games VALUES(369, date '2008-6-8', date '2008-11-11', 'Seattle Mariners', 'San Diego Padres', 'Seattle Mariners');
INSERT INTO Games VALUES(370, date '2001-6-8', date '2001-7-14', 'Miami Marlins', 'Tampa Bay Rays', 'Miami Marlins');
INSERT INTO Games VALUES(371, date '2004-12-12', date '2008-12-17', 'New York Mets', 'New York Mets', 'New York Mets');
INSERT INTO Games VALUES(372, date '2003-3-13', date '2003-5-9', 'St. Louis Cardinals', 'Toronto Blue Jays', 'St. Louis Cardinals');
INSERT INTO Games VALUES(373, date '2007-9-22', date '2005-11-18', 'Seattle Mariners', 'Atlanta Braves', 'Seattle Mariners');
INSERT INTO Games VALUES(374, date '2004-10-25', date '2009-9-12', 'New York Mets', 'Kansas City Royals', 'New York Mets');
INSERT INTO Games VALUES(375, date '2005-3-17', date '2005-10-5', 'Boston Red Sox', 'Oakland Athletics', 'Boston Red Sox');
INSERT INTO Games VALUES(376, date '2006-11-2', date '2004-2-10', 'Washington Nationals', 'Baltimore Orioles', 'Washington Nationals');
INSERT INTO Games VALUES(377, date '2000-6-7', date '2001-12-23', 'Arizona Diamondbacks', 'Houston Astros', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(378, date '2000-10-14', date '2002-12-14', 'San Francisco Giants', 'Baltimore Orioles', 'San Francisco Giants');
INSERT INTO Games VALUES(379, date '2001-8-7', date '2006-10-16', 'Houston Astros', 'Toronto Blue Jays', 'Houston Astros');
INSERT INTO Games VALUES(380, date '2002-1-13', date '2002-5-17', 'Pittsburgh Pirates', 'Baltimore Orioles', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(381, date '2005-11-7', date '2009-5-26', 'Seattle Mariners', 'Colorado Rockies', 'Seattle Mariners');
INSERT INTO Games VALUES(382, date '2001-7-28', date '2009-1-18', 'Oakland Athletics', 'Colorado Rockies', 'Oakland Athletics');
INSERT INTO Games VALUES(383, date '2000-6-26', date '2008-6-19', 'Arizona Diamondbacks', 'Arizona Diamondbacks', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(384, date '2007-6-23', date '2000-9-24', 'Cincinnati Reds', 'Houston Astros', 'Cincinnati Reds');
INSERT INTO Games VALUES(385, date '2002-7-26', date '2002-3-10', 'Kansas City Royals', 'Detroit Tigers', 'Kansas City Royals');
INSERT INTO Games VALUES(386, date '2003-8-6', date '2001-4-1', 'Baltimore Orioles', 'Pittsburgh Pirates', 'Baltimore Orioles');
INSERT INTO Games VALUES(387, date '2005-1-7', date '2006-11-26', 'Washington Nationals', 'Tampa Bay Rays', 'Washington Nationals');
INSERT INTO Games VALUES(388, date '2003-9-22', date '2005-3-20', 'Oakland Athletics', 'Colorado Rockies', 'Oakland Athletics');
INSERT INTO Games VALUES(389, date '2000-3-21', date '2004-2-21', 'Baltimore Orioles', 'Detroit Tigers', 'Baltimore Orioles');
INSERT INTO Games VALUES(390, date '2001-2-4', date '2004-8-7', 'Minnesota Twins', 'St. Louis Cardinals', 'Minnesota Twins');
INSERT INTO Games VALUES(391, date '2002-2-5', date '2006-3-21', 'Atlanta Braves', 'Chicago Cubs', 'Atlanta Braves');
INSERT INTO Games VALUES(392, date '2004-2-20', date '2009-2-17', 'New York Yankees', 'Tampa Bay Rays', 'New York Yankees');
INSERT INTO Games VALUES(393, date '2005-6-27', date '2007-8-13', 'Chicago White Sox', 'St. Louis Cardinals', 'Chicago White Sox');
INSERT INTO Games VALUES(394, date '2007-8-19', date '2008-10-4', 'Detroit Tigers', 'Cincinnati Reds', 'Detroit Tigers');
INSERT INTO Games VALUES(395, date '2000-1-4', date '2003-10-12', 'Seattle Mariners', 'Pittsburgh Pirates', 'Seattle Mariners');
INSERT INTO Games VALUES(396, date '2006-10-20', date '2003-4-19', 'Pittsburgh Pirates', 'Kansas City Royals', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(397, date '2006-12-1', date '2009-4-4', 'Los Angeles Dodgers', 'Houston Astros', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(398, date '2002-2-21', date '2006-9-24', 'New York Yankees', 'Los Angeles Angels', 'New York Yankees');
INSERT INTO Games VALUES(399, date '2003-4-21', date '2008-7-7', 'Los Angeles Angels', 'Los Angeles Dodgers', 'Los Angeles Angels');
INSERT INTO Games VALUES(400, date '2005-8-3', date '2008-9-2', 'Milwaukee Brewers', 'Milwaukee Brewers', 'Milwaukee Brewers');
INSERT INTO Games VALUES(401, date '2000-6-21', date '2005-12-24', 'Los Angeles Dodgers', 'Texas Rangers', 'Los Angeles Dodgers');
